"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"G***";"OTS-Logo-Warp-Neon-22.5mm-fit";1;"LOGO";;;
2;"C1";"C_1206_3216Metric_Pad1.24x1.80mm_HandSolder";1;"0.1uf";;;
3;"C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16";"C_1206_3216Metric_Pad1.24x1.80mm_HandSolder";15;"C";;;
4;"D1,D2";"D_1206_3216Metric_Pad1.07x1.80mm_HandSolder";2;"3.6V";;;
5;"J1";"PinHeader_2x03_P2.54mm_Vertical";1;"ICSP";;;
6;"R1,R2";"R_1206_3216Metric_Pad1.24x1.80mm_HandSolder";2;"68";;;
7;"R3";"R_1206_3216Metric_Pad1.24x1.80mm_HandSolder";1;"1.5K";;;
8;"R4";"R_1206_3216Metric_Pad1.24x1.80mm_HandSolder";1;"500";;;
9;"U1";"SOIC-8_3.9x4.9mm_P1.27mm";1;"ATTINY85-20SU";;;
10;"P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16";"LED_WS2812B-PLCC4";16;"WS2812B";;;
11;"J2";"USB_Micro-B_Molex_47346-0001";1;"USB_B_Micro";;;
12;"REF**";"OSHW-Logo2_24.3x20mm_SilkScreen";1;"OSHW-Logo2_24.3x20mm_SilkScreen";;;
